customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score
1,535,5,2482.71,1,1,1,111
2,30,9,6605.54,4,2,3,423
3,47,15,7856.87,3,4,3,343
4,45,8,9537.79,3,1,4,314
5,120,10,4939.4,2,2,2,222
6,203,10,7844.32,1,2,3,123
7,41,15,6383.08,3,4,3,343
8,24,16,10626.86,4,4,4,444
9,65,9,6922.49,3,2,3,323
10,93,10,3197.2200000000003,2,2,1,221
11,6,11,5852.63,4,3,2,432
12,48,12,7328.31,3,3,3,333
13,69,9,3435.25,3,2,1,321
14,73,12,9852.99,3,3,4,334
15,566,10,6965.28,1,2,3,123
16,64,9,12182.31,3,2,4,324
17,151,12,8477.210000000001,2,3,4,234
18,65,8,5949.139999999999,3,1,2,312
19,108,13,6326.3099999999995,2,4,3,243
20,112,14,14401.95,2,4,4,244
21,10,15,12133.49,4,4,4,444
22,39,16,6667.17,3,4,3,343
23,63,17,8329.59,3,4,4,344
24,142,11,12653.97,2,3,4,234
25,241,9,6208.31,1,2,3,123
26,95,11,4593.34,2,3,2,232
27,11,9,4525.27,4,2,2,422
28,31,9,4467.24,4,2,2,422
29,42,17,12322.25,3,4,4,344
30,131,10,5444.07,2,2,2,222
31,258,11,7138.540000000001,1,3,3,133
32,247,16,16282.029999999999,1,4,4,144
33,84,9,6910.9800000000005,2,2,3,223
34,38,11,5036.33,3,3,2,332
35,46,12,8610.11,3,3,4,334
36,12,10,5613.26,4,2,2,422
37,155,14,7003.51,1,4,3,143
38,22,14,9416.31,4,4,4,444
39,62,13,7770.66,3,4,3,343
40,2,15,7650.26,4,4,3,443
41,122,8,1934.5800000000002,2,1,1,211
42,5,10,5423.31,4,2,2,422
43,191,11,5691.88,1,3,2,132
44,390,5,922.64,1,1,1,111
45,31,8,3564.76,4,1,1,411
46,333,10,9255.2,1,2,4,124
47,21,13,9648.28,4,4,4,444
48,49,12,8330.8,3,3,4,334
49,258,11,6112.85,1,3,3,133
50,63,13,7393.0,3,4,3,343
51,78,11,4523.16,2,3,2,232
52,71,13,7447.5,3,4,3,343
53,167,6,3380.13,1,1,1,111
54,21,6,7823.219999999999,4,1,3,413
55,18,9,4460.6,4,2,2,422
56,100,11,5225.05,2,3,2,232
57,44,8,3784.87,3,1,1,311
58,83,15,10106.14,2,4,4,244
59,46,12,9617.3,3,3,4,334
60,136,11,21851.61,2,3,4,234
61,61,13,7043.9,3,4,3,343
62,210,7,2519.84,1,1,1,111
63,187,16,8419.21,1,4,4,144
64,13,14,5928.0199999999995,4,4,2,442
65,230,7,1817.15,1,1,1,111
66,39,7,4289.66,3,1,2,312
67,85,7,3867.8,2,1,1,211
68,100,7,3817.38,2,1,1,211
69,295,12,15778.55,1,3,4,134
70,289,8,5001.2,1,1,2,112
71,151,13,10415.16,2,4,4,244
72,180,8,3891.95,1,1,1,111
73,85,13,6981.34,2,4,3,243
74,216,9,4630.38,1,2,2,122
75,330,6,3927.09,1,1,1,111
76,19,16,7972.33,4,4,3,443
77,54,11,4568.45,3,3,2,332
78,33,8,5182.74,4,1,2,412
79,55,12,4498.95,3,3,2,332
80,47,7,4461.08,3,1,2,312
81,76,16,12800.55,3,4,4,344
82,39,9,8346.64,3,2,4,324
83,25,11,4931.82,4,3,2,432
84,62,10,4385.4400000000005,3,2,2,322
85,29,10,4985.62,4,2,2,422
86,116,14,9758.1,2,4,4,244
87,100,9,7473.12,2,2,3,223
88,111,6,3110.2799999999997,2,1,1,211
89,126,14,10757.44,2,4,4,244
90,42,8,3632.49,3,1,1,311
91,291,6,6123.37,1,1,3,113
92,123,11,3169.18,2,3,1,231
93,399,8,2821.67,1,1,1,111
94,225,3,2450.89,1,1,1,111
95,222,7,6038.85,1,1,3,113
96,62,9,3081.91,3,2,1,321
97,10,11,12138.21,4,3,4,434
98,35,18,7725.74,3,4,3,343
99,78,6,6336.69,2,1,3,213
100,54,12,9396.52,3,3,4,334
101,155,13,12409.92,1,4,4,144
102,355,11,7253.69,1,3,3,133
103,70,7,4719.14,3,1,2,312
104,53,13,5683.34,3,4,2,342
105,166,9,9928.81,1,2,4,124
106,75,16,6618.58,3,4,3,343
107,233,4,2429.5699999999997,1,1,1,111
108,95,7,2834.1,2,1,1,211
109,7,7,2634.96,4,1,1,411
110,5,5,1799.37,4,1,1,411
111,113,11,5979.33,2,3,2,232
112,545,8,6653.22,1,1,3,113
113,40,9,4244.86,3,2,1,321
114,51,8,3664.96,3,1,1,311
115,32,8,5566.39,4,1,2,412
116,35,13,9694.199999999999,3,4,4,344
117,102,16,11090.05,2,4,4,244
118,230,13,8853.3,1,4,4,144
119,211,9,8819.17,1,2,4,124
120,125,10,7099.07,2,2,3,223
121,73,10,5156.29,3,2,2,322
122,193,13,10247.43,1,4,4,144
123,12,9,6499.79,4,2,3,423
124,252,7,3216.8799999999997,1,1,1,111
125,188,9,6687.7,1,2,3,123
126,66,12,6765.42,3,3,3,333
127,176,6,2016.74,1,1,1,111
128,58,12,5910.13,3,3,2,332
129,7,10,7158.72,4,2,3,423
130,158,6,6413.539999999999,1,1,3,113
131,74,11,5392.7300000000005,3,3,2,332
132,69,15,13044.0,3,4,4,344
133,88,10,5095.03,2,2,2,222
134,132,12,6639.49,2,3,3,233
135,32,14,4925.52,4,4,2,442
136,43,16,16000.56,3,4,4,344
